source_id,organization,title,version_or_date,source_type,url,verified_on,status,notes
SRC-STARD-QUALITY,EQUATOR Network / STARD Group,STARD reporting guideline applicability guidance,STARD 2015 v1.1,implementation guidance,https://resources.equator-network.org/reporting-guidelines/stard,2026-07-23,current_official,Explicitly separates reporting assessment from design-quality appraisal
SRC-STARD-AI,STARD-AI Steering Committee,The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,Published 2025-09-15,primary guideline,https://www.nature.com/articles/s41591-025-03953-8,2026-07-23,current_primary,Forty items for AI-centered diagnostic accuracy studies
SRC-TRIPOD-AI,TRIPOD Group,TRIPOD+AI statement: updated guidance for clinical prediction models,Published 2024-04-16; corrected 2024-04-18,primary guideline,https://www.bmj.com/content/385/bmj-2023-078378,2026-07-23,current_primary,"Twenty-seven items; replaces TRIPOD 2015 for regression and machine-learning prediction models"
SRC-CARE,CARE Group,CARE Checklist,2013 checklist; 2017 explanation,official guideline site,https://www.care-statement.org/checklist,2026-07-23,current_official,Case reports including patient perspective and informed consent
SRC-ARRIVE,NC3Rs / ARRIVE Group,The ARRIVE Guidelines 2.0,Published 2020,official guideline site,https://arriveguidelines.org/arrive-guidelines,2026-07-23,current_official,Essential 10 plus Recommended Set for in vivo animal research
SRC-SQUIRE,SQUIRE Group,SQUIRE 2.0 Guidelines,Published 2015,official guideline site,https://www.squire-statement.org/index.cfm?fuseaction=page.viewPage&pageID=471&nodeID=1,2026-07-23,current_official,Quality-improvement reporting; not every element applies to every manuscript
SRC-CHEERS,ISPOR,CHEERS 2022,Published 2022,official guideline site,https://www.ispor.org/heor-resources/good-practices/cheers,2026-07-23,current_official,Replaces 2013 guidance for health economic evaluations
SRC-SAMPL,EQUATOR Network / Lang and Altman,SAMPL guidelines for statistical reporting,2013; journal article 2015,statistical reporting guidance,https://www.equator-network.org/2013/02/11/sampl-guidelines-for-statistical-reporting/,2026-07-23,current_guidance,Succinct biomedical statistical reporting guidance for authors editors and reviewers
SRC-ASA-PVALUE,American Statistical Association,Statement on Statistical Significance and P-Values,Released 2016-03-07,statistical principle statement,https://www.amstat.org/asa/files/pdfs/P-ValueStatement.pdf,2026-07-23,current_official,Do not base conclusions on thresholds alone; report transparently and distinguish effect size from significance
SRC-NIH-RIGOR,National Institutes of Health,Guidance: Rigor and Reproducibility in Grant Applications,Current page updated 2024-10-16,funder guidance,https://grants.nih.gov/policy-and-compliance/policy-topics/reproducibility/guidance,2026-07-23,current_official,"Rigor of prior research, robust design, authentication, and transparent reporting"
SRC-ICH-E9R1,International Council for Harmonisation,ICH E9(R1) Addendum on Estimands and Sensitivity Analysis in Clinical Trials,Step 4 2019; effective 2020,statistical guidance,https://database.ich.org/sites/default/files/E9-R1_Step4_Guideline_2019_1203.pdf,2026-07-23,current_official,Trial estimands missing data and sensitivity analysis; use only when applicable
SRC-MIAME-MINSEQE,NCBI GEO,MIAME and MINSEQE guidelines,Page last modified 2026-07-08,repository implementation guidance,https://www.ncbi.nlm.nih.gov/geo/info/MIAME.html,2026-07-23,current_qualified,GEO still implements both standards; verify current repository submission fields
SRC-MIAPE,HUPO Proteomics Standards Initiative,MIAPE reporting guidelines for proteomics,Current page updated 2024-01-16,domain metadata standard,https://www.psidev.info/miape,2026-07-23,current_qualified,Modular released components have separate versions; select the component matching the workflow
SRC-MIFLOWCYT,International Society for Advancement of Cytometry,MIFlowCyt,Version 1.0; current ISAC recommendation,domain metadata standard,https://isac-net.org/miflowcyt-2/,2026-07-23,current_qualified,Retained as active ISAC guidance for flow-cytometry experiment reporting
SRC-MIAPPE,MIAPPE Community,MIAPPE Releases,Version 1.2 October 2024,domain metadata standard,https://www.miappe.org/releases,2026-07-23,current_official,Version 2.0 remained in early development at verification date
SRC-MIXS,Genomic Standards Consortium,Minimum Information about any Sequence,Current framework,domain metadata standard,https://www.gensc.org/pages/standards-intro.html,2026-07-23,current_official,MIGS and MIMS are legacy checklists within the current MIxS umbrella
SRC-NATURE-POLICY,Nature Portfolio,Peer Review,Current policy at verification,journal policy example,https://www.nature.com/nature-portfolio/editorial-policies/peer-review,2026-07-23,illustrative_policy,Example only; prohibits uploading manuscripts to generative AI and requests AI-use declaration
SRC-BMJ-POLICY,BMJ,AI use,Updated 2026-05-21,publisher policy example,https://authors.bmj.com/policies/ai-use,2026-07-23,illustrative_policy,Example only; protects unpublished material and requires declaration for review-language assistance
SRC-JAMA-POLICY,JAMA Network,Guidance for Authors Peer Reviewers and Editors on Use of AI Language Models and Chatbots,Published 2023-07-27,journal policy example,https://jamanetwork.com/journals/jama/fullarticle/2807956,2026-07-23,illustrative_policy,Example only; prohibits entering manuscript or review text into a chatbot and requires disclosure
