source_id,organization,title,version_or_date,source_type,url,verified_on,status,notes
SRC-WHATIF,Hernán and Robins,Causal Inference: What If,2020 citation; latest author-hosted revision linked 2025-11-21,foundational methods book,https://miguelhernan.org/whatifbook,2026-07-23,current_author_source,"Causal questions, counterfactuals, interventions, confounding, selection, causal diagrams, measurement, and target-trial emulation"
SRC-NEG-CONTROL,Lipsitch Tchetgen Tchetgen and Cohen,Negative controls: a tool for detecting confounding and bias in observational studies,Published 2010-05,primary methods article,https://pubmed.ncbi.nlm.nih.gov/20335814/,2026-07-23,foundational_primary,"Negative exposure and outcome controls; DOI 10.1097/EDE.0b013e3181d61eeb"
SRC-HARKING,Norbert L. Kerr,HARKing: hypothesizing after the results are known,Published 1998,primary methods article,https://pubmed.ncbi.nlm.nih.gov/15647155/,2026-07-23,foundational_primary,"Defines presenting a post hoc hypothesis as if a priori; DOI 10.1207/s15327957pspr0203_4"
SRC-ASA-PVALUE,American Statistical Association,ASA Statement on Statistical Significance and P-Values,Released 2016-03-07,professional statistical statement,https://www.amstat.org/asa/files/pdfs/P-ValueStatement.pdf,2026-07-23,current_official,"Thresholds alone do not support scientific conclusions; p-values do not measure hypothesis truth or effect importance; full reporting is required"
SRC-NASEM-RR,National Academies of Sciences Engineering and Medicine,Reproducibility and Replicability in Science,Published 2019-05-07,consensus report,https://www.nationalacademies.org/read/25303,2026-07-23,current_authoritative,"Defines reproducibility using same data/code and replicability using new data; DOI 10.17226/25303"
SRC-TOP,Center for Open Science collaborators,Promoting an open research culture,Published 2015-06-26,primary transparency framework,https://www.science.org/doi/10.1126/science.aab2374,2026-07-23,current_primary,"Transparency and Openness Promotion guidelines; apply with privacy, consent, governance, and security limits"
SRC-NIH-DMS,National Institutes of Health,Data Management and Sharing Policy,Effective 2023-01-25,official policy,https://sharing.nih.gov/data-management-and-sharing-policy,2026-07-23,current_official,"Prospective data-management and sharing planning for covered NIH-funded research; sharing remains subject to justified limits"
SRC-NIST-GENAI,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,NIST AI 600-1 July 2024; page updated 2026-04-08,official risk framework,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,2026-07-23,current_official,"Confabulation, privacy, harmful bias/homogenization, information integrity, dangerous recommendations, and human-AI configuration"
SRC-DOSHI-HAUSER,Doshi and Hauser,Generative AI enhances individual creativity but reduces the collective diversity of novel content,Published 2024-07-12,primary research,https://www.science.org/doi/10.1126/sciadv.adn5290,2026-07-23,current_primary,"AI-assisted stories were more similar in this experiment; do not generalize beyond the studied task without evidence"
SRC-UNESCO-AI,UNESCO,Recommendation on the Ethics of Artificial Intelligence,Adopted 2021; official page current 2026,international recommendation,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics,2026-07-23,current_official,"Human rights, privacy, accountability, transparency, diversity, and human oversight"
SRC-UNESCO-OPEN,UNESCO,Recommendation on Open Science,Adopted 2021,international recommendation,https://unesdoc.unesco.org/ark:/48223/pf0000379949,2026-07-23,current_official,"Open-science values and practices with responsibility, inclusiveness, and governance"
SRC-HHS-COMMON-RULE,U.S. Department of Health and Human Services,Federal Policy for the Protection of Human Subjects (Common Rule),Official page updated 2026-01-15,regulation and policy index,https://www.hhs.gov/ohrp/regulations-and-policy/regulations/common-rule/index.html,2026-07-23,current_official,"45 CFR 46 applicability and agency implementation; obtain an authorized local determination"
SRC-BELMONT,U.S. Department of Health and Human Services,The Belmont Report,Published 1979,ethical principles report,https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/index.html,2026-07-23,current_foundational,"Respect for persons, beneficence, and justice"
SRC-HELSINKI,World Medical Association,WMA Declaration of Helsinki: Ethical Principles for Medical Research Involving Human Participants,Revised October 2024,international ethical declaration,https://www.wma.net/policies-post/wma-declaration-of-helsinki/,2026-07-23,current_official,"Current international medical-research ethics statement; local law and review remain controlling"
SRC-OLAW-PHS,Office of Laboratory Animal Welfare,Public Health Service Policy on Humane Care and Use of Laboratory Animals,Current official policy page,official animal-welfare policy,https://grants.nih.gov/policy-and-compliance/policy-topics/animal-welfare/laws-regulations/phs-policy,2026-07-23,current_official,"Institutional assurance and IACUC review for covered PHS-conducted or supported animal activities"
SRC-ARRIVE,NC3Rs / ARRIVE Group,ARRIVE Guidelines 2.0,Published 2020,animal reporting guideline,https://arriveguidelines.org/arrive-guidelines,2026-07-23,current_official,"Reporting guidance for in vivo animal research; not an ethics approval or design-quality certificate"
SRC-NIH-RSNA,National Institutes of Health,NIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules,April 2024 or latest revision,official biosafety policy,https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.htm,2026-07-23,current_official,"Institutional biosafety oversight and covered research categories; verify the latest revision and local applicability"
SRC-NIH-BIOSEC,NIH Office of Science Policy,Biosafety and Biosecurity Policy,Official page updated 2026-04-09,official policy portal,https://osp.od.nih.gov/policies/biosafety-and-biosecurity-policy,2026-07-23,current_official,"Current NIH biosafety, biosecurity, IBC, transparency, and Executive Order implementation links"
SRC-BMBL,Centers for Disease Control and Prevention and National Institutes of Health,Biosafety in Microbiological and Biomedical Laboratories,6th edition June 2020,official biosafety guidance,https://www.cdc.gov/labs/bmbl/index.html,2026-07-23,current_official,"Risk assessment and biosafety guidance; use qualified institutional review rather than inferring procedures from this skill"
SRC-WHO-LIFE,World Health Organization,Global Guidance Framework for the Responsible Use of the Life Sciences,Published 2022-09-13,international guidance,https://www.who.int/publications/i/item/9789240056107,2026-07-23,current_official,"Values, principles, tools, and governance for biorisks and dual-use throughout the research lifecycle"
SRC-EO-14292,The White House,Executive Order 14292: Improving the Safety and Security of Biological Research,Signed 2025-05-05,executive order,https://www.whitehouse.gov/presidential-actions/2025/05/improving-the-safety-and-security-of-biological-research,2026-07-23,current_official,"Directed revision/replacement of 2024 DURC/PEPP policy and pause/termination actions for covered dangerous gain-of-function research"
SRC-NIH-NOT-25-112,National Institutes of Health,NOT-OD-25-112: Implementation Update—Improving the Safety and Security of Biological Research,Issued 2025-05,official funding notice,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-112.html,2026-07-23,current_official,"States Executive Order definitions superseded NIH's 2024 DURC/PEPP implementation and rescinds NOT-OD-25-061"
SRC-ASPR-DURC,U.S. Department of Health and Human Services ASPR,Dual Use Research of Concern Oversight Policy Framework,Official page current at verification,official policy status page,https://aspr.hhs.gov/S3/Pages/Dual-Use-Research-of-Concern-Oversight-Policy-Framework.aspx,2026-07-23,current_transition_notice,"At verification, states the 2024 DURC/PEPP policy will be revised or replaced and page will update when revised policy is available"
